filename,genre,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
000_Fallin.mp3,Blues,0.398766339,0.261029124,2173.414601,2348.635635,4469.697972,0.105094225,-22.12929344,98.97511292,-10.53959656,13.30893993,-4.758768559,8.113195419,2.645154953,1.271698833,-9.380474091,11.14533043,-5.252300262,-0.315339178,0.900258899,2.533699989,-2.005246639,3.495976686,0.705987215,8.11096859,1.61171782,6.587331295
001_ShortieLikeMine(feat.ChrisBrown&Johnt·Austin.mp3,Blues,0.465901762,0.270957053,2518.655067,2651.224752,5488.783477,0.087210357,-61.82478714,78.15974426,9.321901321,25.97444534,1.683141947,2.017429829,0.214021519,9.987221718,-3.238185167,13.92307663,-3.559808016,3.558018446,-1.129446507,5.634596348,0.654690504,3.739876032,-5.944917202,3.87311101,-7.997186661,3.063435078
002_MoMoneyMoProblems(feat.PuffDaddy&Mase)-2005Remaster.mp3,Blues,0.418902516,0.233997807,2957.467102,2714.521091,6183.320944,0.152284038,-41.08968353,60.56690216,-7.332505703,17.86798859,4.352404594,13.59388924,1.30348134,8.402620316,-5.015687466,7.926466942,-5.527018547,4.102381229,-3.110309601,3.106595278,-2.284697533,5.771778584,-4.016854763,0.327673316,-3.260499239,-0.416477531
003_IveChangedfeatKeyshiaCole.mp3,Blues,0.374477357,0.258580834,2747.243087,2849.698383,6255.395508,0.109958141,-48.65867615,74.21543884,23.38075447,21.72637939,-1.41891849,11.41807556,6.008162498,13.38686371,-4.432892799,12.52849388,-2.504838705,4.470598221,2.079904318,2.48759985,-0.709447861,5.637890339,-2.080954552,8.515167236,-1.44976449,8.345079422
004_Blame.mp3,Blues,0.494732141,0.372013509,2064.441644,2600.087807,4853.437319,0.057051431,-86.60162354,94.76909637,28.98291206,19.39481544,7.647596359,12.94688129,7.366738319,2.878531218,-5.27964592,24.2740593,-5.616561413,5.455497265,5.883954048,0.525487483,-1.659587979,5.081458092,0.274451345,5.138656616,-1.814820886,6.974660873
005_AllIHave(feat.LLCoolJ.mp3,Blues,0.421944022,0.2096432,3519.724122,3132.689115,7579.804166,0.169478567,-51.76042938,45.61490631,23.06614685,24.93970299,2.313611507,2.923989058,8.573480606,3.865314484,0.038820721,9.96499157,-11.42179298,2.739216328,-4.497868061,1.326851964,-2.022883892,2.595481634,-0.998757362,6.485731125,3.160270691,9.539997101
006_UandDat(feat.T.Pain&KandiGirl.mp3,Blues,0.506627619,0.232293308,2672.320157,2593.122781,5573.024634,0.104458174,-98.38452911,59.12584686,-10.45609474,16.65004349,-0.727763534,4.918291092,-1.002055764,12.31134987,-5.214463711,5.340703011,5.446182251,3.932919979,-5.129288673,3.388522863,-0.738105059,7.52640295,-0.022726998,9.511174202,4.301294327,9.655293465
007_MyLoveIstheShhh.mp3,Blues,0.365550965,0.22568354,2601.304253,2567.349553,5565.816344,0.122618306,-26.79829597,76.60816956,-13.76161003,9.764638901,-13.70299911,-1.76735425,-16.67717361,-2.052583933,-9.128378868,1.066721797,-10.63416767,-6.602079391,-6.143579483,-2.57839489,-6.332842827,-0.492104739,-4.196432114,2.369475842,-3.287978888,0.565872252
008_ForeverforNow.mp3,Blues,0.201859057,0.286718816,1631.381412,2020.055019,2965.15707,0.083376669,-87.42591095,131.059845,1.654185057,4.528162479,-0.907955468,-0.47111699,10.41162682,6.168315887,5.79492712,18.0327549,-13.09741879,-4.685104847,-6.012402534,-0.463470757,-0.272037566,8.248019218,-1.079158783,3.359747648,-3.659116268,6.910702705
009_ProveItOnMeBlues.mp3,Blues,0.304583371,0.123942092,942.5937642,1236.879675,1895.730203,0.038754112,-217.5552979,166.4578857,-24.82313919,42.9449501,10.239604,-0.959690452,-16.2837677,-10.04827976,-7.709815025,-12.00602531,-7.26763916,-13.70666504,-13.83661938,-13.55341625,-13.05243397,-16.00528717,-12.97894764,-6.322412968,-2.172249079,-1.214273691
010_BuyUaDrank(ShawtySnappin')(feat.YungJoc.mp3,Blues,0.468084335,0.258407503,2672.597928,2735.044731,5896.17268,0.0947927,-79.65348053,63.54114151,9.306380272,26.86245346,8.942738533,10.53984833,-11.67639923,5.990177631,0.392025411,7.911083698,2.822628736,4.330482006,3.902077675,3.552173615,0.720468044,5.234419823,-1.32156527,3.757110596,0.999301136,4.889489174
